absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,is_sentry_object,epoch_date_close_approach,relative_velocity_km_per_sec,miss_distance_kilometers
27.6,0.0080270317,0.0179489885,False,False,1736670720000,10.6819175304,22092069.2494283
26.58,0.012839703,0.0287104486,False,False,1736708340000,12.4569412057,43060552.47514613
25.9,0.0175612318,0.0392681082,False,False,1736703720000,10.7614171586,25592941.683649205
25.55,0.0206326484,0.0461360043,False,False,1736724840000,5.8196598093,11550817.11501492
25.89,0.0176422908,0.0394493615,False,False,1736687580000,15.6489439914,48995018.07321231
29.55,0.0032700544,0.0073120639,False,False,1736665080000,7.6516383262,16245498.174464907
29.92,0.0027577505,0.0061665176,False,False,1736653140000,2.5309263627,68978203.83048362
26.31,0.0145396843,0.0325117225,False,False,1736724600000,16.2748078974,47042760.52906834
25.55,0.0206326484,0.0461360043,False,False,1736684400000,3.1257268761,19908400.67503408
26.54,0.0130784109,0.0292442157,False,False,1736671440000,8.5484805862,1207393.518045064
26.52,0.0131994239,0.0295148091,False,False,1736672820000,5.4955902224,8799819.128513673
26.17,0.0155079709,0.0346768771,False,False,1736691000000,7.4599258314,5115889.091498155
25.92,0.0174002295,0.038908096,False,False,1736683140000,7.303827807,6774683.336422644
23.45,0.0542693946,0.1213500554,False,False,1736667720000,12.5764408435,24097897.371945225
24.46,0.0340843469,0.0762149166,False,False,1736556000000,6.3620428316,4081256.429654541
21.26,0.1487835705,0.3326901775,True,False,1736612100000,17.5611867728,49699887.73707776
21.73,0.1198270801,0.2679414966,False,False,1736611740000,14.3261753538,25935610.62451035
27.7,0.0076657557,0.0171411509,False,False,1736598600000,12.9242431904,52134330.21291038
24.7,0.0305179233,0.0682401509,False,False,1736587860000,12.4713507414,32292968.68176153
24.8,0.0291443905,0.0651688382,False,False,1736621100000,11.3932530243,24393068.46548883
29.0,0.0042126461,0.0094197631,False,False,1736609520000,9.0791987063,59918690.38426196
28.45,0.0054269395,0.0121350055,False,True,1736598780000,4.3864300936,31047814.746475726
26.45,0.0136318556,0.0304817558,False,False,1736605080000,19.3208543055,68965285.51585679
26.24,0.0150160248,0.0335768522,False,False,1736598600000,16.8502308359,2979899.826637787
27.75,0.0074912618,0.0167509707,False,False,1736639280000,4.8633185571,1788509.286419594
26.02,0.0166170902,0.0371569432,False,False,1736573460000,7.2706986601,1237448.837152302
24.4,0.0350392641,0.0783501764,False,False,1736607780000,6.1588219753,19056435.80881522
25.91,0.0174805453,0.0390876876,False,False,1736601960000,8.2168127923,228225.76248265
22.29,0.0925880583,0.2070331923,False,False,1736522580000,6.2743345001,29822591.16693813
23.45,0.0542693946,0.1213500554,False,False,1736531040000,11.7118088658,22656870.442572538
24.29,0.0368599699,0.0824213984,False,False,1736472180000,4.7349231223,14974781.359067757
21.99,0.1063053145,0.2377059096,True,False,1736547000000,22.8423951082,21814630.844123658
25.78,0.0185590173,0.0414992243,False,False,1736542620000,14.7232196793,68380429.8755312
26.11,0.0159424468,0.0356483948,False,False,1736502540000,15.244067355,36194566.94069976
25.57,0.0204434871,0.0457130269,False,False,1736544600000,9.4348852996,48311249.3684278
23.5,0.0530340723,0.1185877909,False,False,1736477100000,9.5462869245,74093047.23287047
25.14,0.0249203981,0.0557237043,False,False,1736534940000,4.109881063,18950136.783358883
26.27,0.0148099972,0.0331161605,False,False,1736513640000,7.1901886102,5778839.442537933
25.03,0.0262153087,0.0586192124,False,False,1736480160000,8.566371362,27473306.35109621
25.03,0.0262153087,0.0586192124,False,False,1736466720000,10.7616544527,4811939.983897414
26.8,0.0116025908,0.0259441818,False,False,1736427120000,8.9190161339,55001479.0075566
24.4,0.0350392641,0.0783501764,False,False,1736411640000,5.1613772387,59495075.397284426
25.75,0.0188171989,0.042076536,False,False,1736405640000,7.2246441634,52418994.479571976
27.82,0.0072536229,0.016219594,False,False,1736421240000,3.0567992784,7681924.331370549
25.51,0.0210162379,0.0469937366,False,False,1736452740000,6.3343361342,26746165.872806415
27.45,0.0086011194,0.0192326877,False,False,1736388660000,1.0253286228,1800565.79763693
22.75,0.0749126183,0.1675097069,False,False,1736385660000,13.0240937092,25225166.091300845
26.33,0.0144063837,0.0322136532,False,True,1736462400000,7.8247946491,1041282.960355529
25.9,0.0175612318,0.0392681082,False,False,1736394840000,7.266967644,5602847.855776176
25.43,0.021804944,0.0487573371,False,False,1736402940000,19.4858381667,3167431.437970705
24.57,0.0324007435,0.0724502651,False,False,1736437440000,11.2018245193,8099233.723248219
20.29,0.2325706875,0.5200438667,False,False,1737197100000,18.609570434,71957078.28340086
22.68,0.077366861,0.1729975604,False,False,1737198540000,15.0414430899,61627285.520752855
21.4,0.1394938229,0.3119176705,True,False,1737164640000,20.2005796584,27109155.90409241
25.1,0.0253837029,0.0567596853,False,False,1737191760000,15.981936482,43759953.63375309
24.8,0.0291443905,0.0651688382,False,False,1737169620000,15.8057605675,39092585.85421197
26.0,0.0167708462,0.0375007522,False,False,1737206640000,7.2211857005,20014148.17802309
28.99,0.0042320908,0.0094632427,False,False,1737164640000,1.4111403525,3403187.717872563
22.11,0.100590039,0.2249261651,False,False,1737189060000,11.8236524408,17310120.84098572
20.93,0.1732028271,0.3872932954,True,False,1737240120000,10.1678775336,6306311.598859365
26.75,0.0118728499,0.0265484994,False,False,1737237480000,2.5383491458,5757968.235865735
20.98,0.1692602495,0.3784774237,False,False,1737240840000,17.6929010346,25422959.966917887
26.31,0.0145396843,0.0325117225,False,True,1737231900000,11.8243458377,323245.317978005
26.86,0.011286388,0.0252371308,False,False,1737230100000,5.340567986,7392515.17930744
28.67,0.004904051,0.0109657914,False,False,1737172020000,8.4271581975,684889.821141859
25.99,0.0168482569,0.0376738478,False,False,1737169680000,7.1465535979,5621213.926436928
29.92,0.0027577505,0.0061665176,False,False,1737219540000,7.8635753625,195446.400800795
27.89,0.0070235225,0.0157050737,False,False,1737229320000,8.5893182132,1491005.962082691
27.79,0.0073545309,0.016445231,False,False,1737190440000,7.1479921892,1780247.983405436
22.11,0.100590039,0.2249261651,False,False,1737189060000,11.8236524493,17310120.84098572
22.63,0.0791689667,0.1770271912,False,False,1737101160000,11.4410706244,15258461.406382836
25.6,0.0201629919,0.0450858206,False,False,1737143820000,10.6375493901,46853591.06041552
24.1,0.040230458,0.0899580388,False,False,1737141600000,11.2324862565,70291378.95983206
25.2,0.0242412481,0.0542050786,False,False,1737147480000,15.4211353076,67410544.39852612
28.5,0.0053034072,0.0118587791,False,False,1737154380000,4.0069128483,30164452.713135097
24.04,0.0413575665,0.0924783301,False,False,1737153660000,24.4024198149,73928499.49420926
28.49,0.0053278866,0.0119135167,False,False,1737072180000,4.4723637603,23712752.74882009
24.23,0.0378926498,0.0847305409,False,False,1737092880000,7.9658658294,36922621.23757845
25.49,0.0212106988,0.0474285643,False,False,1737139920000,7.0025319248,36607281.179684006
26.58,0.012839703,0.0287104486,False,False,1737078600000,4.4294416455,1693775.417976578
26.36,0.0142087207,0.0317716653,False,False,1737097740000,10.2814327909,780307.606167154
25.05,0.0259749653,0.0580817882,False,False,1737153240000,8.8138391336,7582061.844029684
26.82,0.0114962176,0.0257063241,False,False,1737077160000,13.7352515841,3460604.89131705
26.43,0.0137579896,0.0307638,False,False,1737104640000,9.1853564713,6143921.360679286
27.05,0.01034082,0.0231227764,False,False,1737110880000,16.0122657921,240561.273727536
28.65,0.0049494276,0.0110672566,False,False,1737091860000,7.7639141082,8314503.786596324
21.87,0.1123453177,0.2512117673,False,False,1737699120000,20.7132427233,28772488.99327206
19.88,0.2809020939,0.6281161771,True,False,1737746520000,21.9129794217,9810797.749147562
21.58,0.1283970296,0.2871044863,True,False,1737695520000,28.6669867139,63180869.88751353
23.76,0.0470494961,0.1052058716,False,False,1737735780000,10.9199365882,13418191.780535787
28.0,0.0066765941,0.0149293183,False,False,1737677760000,22.9467123252,68571195.26922096
25.12,0.0251509837,0.0562393094,False,False,1737700560000,8.5252863531,20368906.661311265
22.52,0.0832827346,0.1862258558,False,False,1737712320000,7.2866797163,11287371.735435188
22.41,0.0876102615,0.1959025002,False,False,1737691620000,7.8515432466,28255397.463069502
24.47,0.0339277435,0.0758647409,False,False,1737701040000,4.4917267225,18366740.56001386
28.09,0.0064055286,0.0143231974,False,True,1737749220000,1.6575369749,3710364.354639193
19.88,0.2809020939,0.6281161771,True,False,1737746520000,21.9129794225,9810797.749147562
24.18,0.038775283,0.0867041687,False,False,1737622860000,7.9548118104,19343743.260402694
23.9,0.04411182,0.0986370281,False,False,1737608700000,15.8020969264,39070582.16174429
23.72,0.0479242116,0.1071617948,False,False,1737663480000,7.9677284273,65234027.54478448
27.88,0.0070559416,0.015777565,False,False,1737672660000,16.4654660933,52911674.763986014
28.8,0.0046190746,0.0103285648,False,False,1737654600000,5.4705408895,26175844.503299396
28.15,0.0062309602,0.0139328506,False,False,1737604320000,14.5578657881,522490.397652562
29.27,0.0037201031,0.0083184034,False,True,1737596880000,22.0799070252,320380.488847931
23.55,0.0518268695,0.1158884032,False,False,1737654780000,8.8308207488,22735889.15949056
22.04,0.1038855101,0.2322950625,False,False,1737635220000,23.0828947973,17330213.4655435
26.61,0.0126635356,0.0283165265,False,False,1737617520000,15.5296737735,224550.980564822
18.84,0.453476699,1.0140047252,True,False,1737575220000,10.4985312422,10773851.9441376
20.2,0.2424124811,0.5420507863,True,False,1737568980000,12.0784332692,34255211.195577785
24.3,0.0366906138,0.0820427065,False,False,1737583920000,17.9109546116,39823525.774324656
28.36,0.0056565936,0.0126485278,False,True,1737543600000,17.9367434791,39492355.53910298
24.76,0.0296862251,0.0663804174,False,False,1737560760000,18.0369407463,27366983.65925684
24.04,0.0413575665,0.0924783301,False,False,1737540840000,13.2835034952,45480625.791329294
29.49,0.0033616692,0.0075169209,False,False,1737521160000,6.4929472524,36168728.63594996
28.86,0.004493192,0.0100470827,False,False,1737535380000,12.7988678374,41110953.70402611
21.03,0.1654074158,0.3698622257,False,False,1737512280000,30.6649200548,27476023.257852428
23.77,0.0468333233,0.1047224945,False,False,1737542940000,5.9481628099,20617437.17813136
26.29,0.0146742183,0.0328125497,False,False,1737539820000,14.3082805056,2716982.617297877
23.41,0.0552783379,0.1236061213,False,False,1737532080000,15.1845196981,5223692.009381815
22.62,0.079534394,0.1778443116,False,False,1737559620000,16.5093019966,22408222.61110279
24.46,0.0340843469,0.0762149166,False,False,1737558060000,9.5747979399,20018324.38208158
24.6,0.0319561887,0.0714562102,False,False,1737485400000,10.3814633525,38895592.701194085
24.3,0.0366906138,0.0820427065,False,False,1737469980000,11.0511773016,13764722.455772905
